t,pnl_xbt_usd,pnl_eth_usd,pnl_eth_xbt,funding_fee_eth_usd,funding_fee_xbt_usd,pnl_roll_over,fee_xbt_usd,fee_eth_xbt,total_xbt,bxbt_price,total_xbt_pnl,total_xbt_pnl_without_ethusd_funding,total_usd_pnl,total_usd_pnl_without_ethusd_funding,ethusd_funding_usd
2018-08-06 09:00:00+00:00,29.08767788,12.26956775,14.86516331,-2.41558372,0.313230962,0,0.437536996,0.47458362,1057.412641,6965.15,57.41264108,54.99705736,399887.657,383062.754,16824.90294
2018-08-06 10:00:00+00:00,29.88702604,12.86808325,13.35749912,-2.41558372,0.313230962,0,0.437678648,0.47520459,1057.302078,6962.46,57.30207793,54.88649421,398963.4255,382145.0204,16818.40502
2018-08-06 11:00:00+00:00,28.69825938,12.03016155,12.83505795,-2.41558372,0.313230962,0,0.437871132,0.47604648,1054.751914,6978.43,54.75191402,52.3363303,382082.3994,365225.4175,16856.9819
2018-08-06 12:00:00+00:00,28.8452603,11.0126852,14.00447795,-2.464482436,0.51535195,0,0.438789322,0.47613531,1054.896629,6980.15,54.8966293,52.43214686,383186.707,365984.2499,17202.45708
2018-08-06 13:00:00+00:00,29.84214468,12.3294193,13.75059479,-2.464482436,0.51535195,0,0.439059503,0.476889983,1056.95534,6965.5,56.95533977,54.49085733,396722.4191,379556.0667,17166.35241
2018-08-06 14:00:00+00:00,32.88189497,15.6811061,13.63926291,-2.464482436,0.51535195,0,0.439529811,0.479064848,1063.2328,6923.65,63.23279981,60.76831738,437801.7744,420738.5606,17063.21382
2018-08-06 15:00:00+00:00,31.46704791,14.364372,13.31052046,-2.464482436,0.51535195,0,0.439557801,0.480040823,1060.171472,6946.49,60.17147224,57.7069898,417980.5302,400861.0276,17119.5026
2018-08-06 16:00:00+00:00,29.43077837,13.0476379,12.81210046,-2.464482436,0.51535195,0,0.43998751,0.4815033,1056.318156,6970.4,56.31815641,53.85367397,392560.0774,375381.6491,17178.42837
2018-08-06 17:00:00+00:00,33.36968205,15.0825906,14.31330046,-2.464482436,0.51535195,0,0.441226103,0.484303808,1063.789174,6914.32,63.78917369,61.32469125,441058.7594,424018.5392,17040.2202
2018-08-06 18:00:00+00:00,33.00211527,15.14244215,13.21193841,-2.464482436,0.51535195,0,0.44146396,0.484481258,1062.379681,6921.34,62.3796811,59.91519867,431750.982,414693.4611,17057.52086
2018-08-06 19:00:00+00:00,32.96480793,16.5190278,14.12284841,-2.464482436,0.51535195,0,0.44259701,0.484525703,1064.628692,6916.5,64.62869191,62.16420948,447004.3476,429958.7548,17045.59277
2018-08-06 20:00:00+00:00,31.39818231,15.6811061,13.29464841,-2.51291431,0.463677276,0,0.44306066,0.485634953,1061.494478,6943.02,61.49447824,58.98156393,426957.3923,409510.178,17447.21431
2018-08-06 21:00:00+00:00,33.07908467,16.81828555,14.62376841,-2.51291431,0.463677276,0,0.443366753,0.486836183,1065.640173,6920.94,65.64017273,63.12725842,454291.6971,436899.9679,17391.72917
2018-08-06 22:00:00+00:00,36.8248473,20.5889332,14.8246372,-2.51291431,0.463677276,0,0.4436884,0.489506933,1073.354459,6863.68,73.35445941,70.8415451,503481.5359,486233.6963,17247.83969
2018-08-06 23:00:00+00:00,35.98965946,18.9130898,14.38841229,-2.51291431,0.463677276,0,0.44444298,0.490085205,1070.40587,6879.35,70.4058704,67.89295609,484346.6245,467059.4075,17287.21706
2018-08-07 00:00:00+00:00,31.90372522,14.4840751,14.96472229,-2.51291431,0.463677276,0,0.445100089,0.492935445,1062.463724,6937.06,62.46372412,59.95080981,433314.602,415882.3647,17432.23734
2018-08-07 01:00:00+00:00,29.70188701,14.0052627,13.05641229,-2.51291431,0.463677276,0,0.446280069,0.494488133,1057.872031,6959.2,57.87203084,55.35911653,402743.037,385255.1637,17487.87327
2018-08-07 02:00:00+00:00,33.23990427,17.5963557,12.63981229,-2.51291431,0.463677276,0,0.446590788,0.497014658,1064.581704,6915.01,64.58170386,62.06878955,446583.128,429206.3004,17376.82758
2018-08-07 03:00:00+00:00,31.44478534,15.2022937,12.55334214,-2.51291431,0.463677276,0,0.447211697,0.498300083,1060.304146,6940.8,60.30414644,57.79123212,418559.0196,401117.3839,17441.63564
2018-08-07 04:00:00+00:00,32.13969845,14.6037782,12.47030214,-2.733769522,0.412114839,0,0.448233244,0.498831893,1060.588368,6926.79,60.58836835,57.85459882,419682.904,400746.6566,18936.24739
2018-08-07 05:00:00+00:00,30.27470544,14.78333285,12.20352148,-2.733769522,0.412114839,0,0.449671526,0.500116448,1058.633426,6953.5,58.63342648,55.89965696,407707.531,388698.2647,19009.26637
2018-08-07 06:00:00+00:00,31.83761987,15.8008092,12.36994148,-2.733769522,0.412114839,0,0.449991764,0.501268508,1061.378765,6926.68,61.37876496,58.64499544,425151.0637,406215.117,18935.94667
2018-08-07 07:00:00+00:00,31.06653271,14.1249658,12.74604005,-2.733769522,0.412114839,0,0.450793637,0.501800678,1059.306599,6946.57,59.30659893,56.57282941,411977.441,392987.1196,18990.32135
2018-08-07 08:00:00+00:00,25.20482918,11.1323883,11.99841005,-2.733769522,0.412114839,0,0.452644542,0.506007278,1049.69863,7020.64,49.6986304,46.96486088,348916.1925,329723.3809,19192.81166
2018-08-07 09:00:00+00:00,24.18612318,10.59372435,11.49429005,-2.733769522,0.412114839,0,0.452965315,0.506759273,1047.636068,7037.85,47.63606768,44.90229815,335255.4989,316015.6391,19239.85983
2018-08-07 10:00:00+00:00,22.91736826,9.39669335,11.24172005,-2.733769522,0.412114839,0,0.452978187,0.507687735,1044.91677,7060.38,44.91677043,42.1830009,317129.4676,297828.0159,19301.45166
2018-08-07 11:00:00+00:00,22.98892507,11.31194295,10.48212005,-2.733769522,0.412114839,0,0.454435099,0.507776025,1046.142432,7048.35,46.14243163,43.40866211,325228.008,305959.4436,19268.56441
2018-08-07 12:00:00+00:00,20.45999195,9.0974356,9.213936139,-2.782859764,0.361163156,0,0.45455028,0.50962539,1040.228885,7087.28,40.22888463,37.44602486,285113.3694,265390.4631,19722.90635
2018-08-07 13:00:00+00:00,18.98988708,10.2944666,5.397936139,-2.782859764,0.361163156,0,0.456568682,0.510717765,1036.1367,7119.87,36.13669998,33.35384022,257288.6061,237475.0064,19813.59975
2018-08-07 14:00:00+00:00,22.2817032,10.8929821,8.970036139,-2.782859764,0.361163156,0,0.458514358,0.513138315,1043.594765,7066.94,43.59476537,40.81190561,308081.5912,288415.2882,19666.30298
2018-08-07 15:00:00+00:00,20.25660017,10.59372435,7.222028851,-2.782859764,0.361163156,0,0.459682013,0.514541835,1039.519826,7090.9,39.51982614,36.73696637,280231.1351,260498.1548,19732.9803
2018-08-07 16:00:00+00:00,18.92575703,10.59372435,5.186348851,-2.782859764,0.361163156,0,0.460658506,0.515502795,1036.151366,7111.1,36.15136554,33.36850578,257075.9755,237286.7814,19789.19406
2018-08-07 17:00:00+00:00,18.35093706,10.11491195,3.655628851,-2.782859764,0.361163156,0,0.460706169,0.515938245,1033.56653,7116.47,33.56653005,30.78367029,238875.2041,219071.0661,19804.13802
2018-08-07 18:00:00+00:00,19.10574781,11.31194295,5.103008851,-2.782859764,0.361163156,0,0.461088561,0.516505988,1036.964802,7112.99,36.96480167,34.18194191,262930.2646,243135.811,19794.45367
2018-08-07 19:00:00+00:00,19.93583726,15.14244215,0.249647083,-2.782859764,0.361163156,0,0.463483103,0.517068173,1036.769072,7095.95,36.76907182,33.98621206,260911.4952,241164.4615,19747.03374
2018-08-07 20:00:00+00:00,26.34362723,28.9681502,-6.201614686,-2.829962933,0.308097774,0,0.469797303,0.521549048,1050.640682,6999.91,50.64068155,47.81071862,354480.2132,334670.7273,19809.48584
2018-08-07 21:00:00+00:00,36.26202946,39.08306215,-10.0649082,-2.829962933,0.308097774,0,0.470965885,0.52802439,1066.803058,6877.3,66.80305829,63.97309536,459424.6728,439962.1687,19462.50408
2018-08-07 22:00:00+00:00,47.16174893,46.9236152,-10.37501132,-2.829962933,0.308097774,0,0.47203911,0.534915623,1085.225263,6755.92,85.22526323,82.3953003,575775.0604,556656.0572,19119.00318
2018-08-07 23:00:00+00:00,46.79428993,44.0507408,-6.297368104,-2.829962933,0.308097774,0,0.474240556,0.535086173,1086.060201,6747.35,86.06020106,83.23023813,580678.2976,561583.5472,19094.7504
2018-08-08 00:00:00+00:00,49.07827983,46.684209,-6.539498104,-2.829962933,0.308097774,0,0.47468945,0.536662928,1090.733504,6717.95,90.73350351,87.90354057,609543.1399,590531.5904,19011.54949
2018-08-08 01:00:00+00:00,58.99162399,49.1979741,-0.32333899,-2.829962933,0.308097774,0,0.479310374,0.542796263,1109.366018,6604.23,109.3660176,106.5360547,722278.3346,703588.6085,18689.7261
2018-08-08 02:00:00+00:00,60.45794327,48.65931015,0.629415988,-2.829962933,0.308097774,0,0.481193595,0.544094738,1111.243246,6577.41,111.2432462,108.4132833,731692.4402,713078.6138,18613.8265
2018-08-08 03:00:00+00:00,56.24296694,47.1630214,-1.495716622,-2.829962933,0.308097774,0,0.482600738,0.546507218,1103.403029,6618.53,103.4030289,100.573066,684376.049,665645.8545,18730.19457
2018-08-08 04:00:00+00:00,58.59297076,50.33515355,-0.624736622,-3.066936228,0.468964423,0,0.483683439,0.54793158,1109.869744,6587.51,109.8697445,106.8028082,723768.0404,703564.5673,20203.47307
2018-08-08 05:00:00+00:00,66.86891071,54.52476205,-0.385582895,-3.066936228,0.468964423,0,0.485671075,0.55294104,1122.56745,6498.5,122.5674496,119.5005133,796504.5709,776574.0858,19930.48508
2018-08-08 06:00:00+00:00,63.79671563,53.1481764,-0.846050401,-3.066936228,0.468964423,0,0.486337767,0.5546235,1117.655852,6535.63,117.6558522,114.5889159,768955.1171,748910.7567,20044.36042
2018-08-08 07:00:00+00:00,62.08364511,52.25040315,-0.221410401,-3.066936228,0.468964423,0,0.486721451,0.5556603,1115.668228,6547.89,115.6682279,112.6012917,757382.8329,737300.8718,20081.96106
2018-08-08 08:00:00+00:00,69.75145161,58.8939252,-1.317890401,-3.066936228,0.468964423,0,0.487300742,0.56022837,1128.877929,6456.51,128.8779291,125.8109929,832101.638,812299.9336,19801.70442
2018-08-08 09:00:00+00:00,65.08483017,56.8589725,-3.926893784,-3.066936228,0.468964423,0,0.488645614,0.56297013,1119.563265,6512.33,119.5632649,116.4963287,778635.4372,758662.5364,19972.9008
2018-08-08 10:00:00+00:00,66.21529359,57.9363004,-3.926893784,-3.066936228,0.468964423,0,0.48881699,0.56365557,1121.770199,6497.59,121.7701994,118.7032632,791212.8302,771285.1361,19927.69416
2018-08-08 11:00:00+00:00,67.61342563,60.27051085,-5.007188277,-3.066936228,0.468964423,0,0.489893512,0.564467535,1124.420359,6484.23,124.420359,121.3534227,806770.2242,786883.5043,19886.7199
2018-08-08 12:00:00+00:00,65.33921649,58.23555815,-5.460250487,-3.111112657,0.784988703,0,0.490133461,0.565790925,1119.384724,6510.96,119.3847237,116.2736111,777309.1608,757052.8307,20256.33006
2018-08-08 13:00:00+00:00,66.34910748,61.2879872,-5.693830487,-3.111112657,0.784988703,0,0.492053484,0.56638827,1123.210946,6494.77,123.2109464,120.0998337,800226.7583,780020.7971,20205.96115
2018-08-08 14:00:00+00:00,68.50804144,62.3653151,-6.227632416,-3.111112657,0.784988703,0,0.49254815,0.56766672,1125.911633,6466.97,125.9116332,122.8005206,814266.7546,794147.2824,20119.47222
2018-08-08 15:00:00+00:00,66.88708283,63.02368215,-9.37781369,-3.111112657,0.784988703,0,0.494124243,0.568555178,1121.796396,6491.84,121.7963958,118.6852832,790682.7143,770485.8687,20196.84559
2018-08-08 16:00:00+00:00,67.63776186,60.27051085,-4.64238369,-3.111112657,0.784988703,0,0.496978921,0.568982828,1124.526051,6480.26,124.5260512,121.4149386,806961.1887,786800.3698,20160.81891
2018-08-08 17:00:00+00:00,88.18335692,75.83191385,-5.179113549,-3.111112657,0.784988703,0,0.496987926,0.580771478,1160.084522,6257.46,160.0845218,156.9734091,1001722.492,982254.8286,19467.66301
2018-08-08 18:00:00+00:00,89.46116547,74.215922,-1.480551649,-3.111112657,0.784988703,0,0.499241175,0.581460518,1163.441958,6242.55,163.4419581,160.3308454,1020294.595,1000873.319,19421.27632
2018-08-08 19:00:00+00:00,87.35963495,70.5051259,1.059356577,-3.111112657,0.784988703,0,0.501491115,0.582370238,1160.16638,6264.65,160.16638,157.0552674,1003386.313,983896.2807,19490.03191
2018-08-08 20:00:00+00:00,79.53783459,64.69952555,0.236336577,-3.154642689,1.107980343,0,0.501849499,0.586521038,1145.431989,6339.24,145.4319885,142.2773458,921928.2789,901930.2418,19998.03712
2018-08-08 21:00:00+00:00,81.34235521,72.5400786,-4.007343423,-3.154642689,1.107980343,0,0.507537613,0.587591475,1150.826624,6316.99,150.8266236,147.671981,952770.2733,932842.427,19927.84632
2018-08-08 22:00:00+00:00,82.36429049,71.16349295,-3.163293103,-3.154642689,1.107980343,0,0.509407077,0.588149175,1151.313596,6299.67,151.3135964,148.1589537,953225.724,933352.5161,19873.20791
2018-08-08 23:00:00+00:00,85.74455411,79.42300685,-8.285048537,-3.154642689,1.107980343,0,0.514345286,0.590183895,1157.824646,6262.94,157.8246456,154.6700029,988446.2858,968688.948,19757.33788
2018-08-09 00:00:00+00:00,84.32430854,73.79696115,-5.535185522,-3.154642689,1.107980343,0,0.518432989,0.590951775,1153.523362,6283.05,153.5233617,150.3687191,964594.958,944774.1803,19820.77775
2018-08-09 01:00:00+00:00,83.22141198,72.59993015,-2.606285522,-3.154642689,1.107980343,0,0.519283765,0.591123585,1154.151312,6286.27,154.1513116,150.9966689,969036.7656,949205.8299,19830.9357
2018-08-09 02:00:00+00:00,79.12183646,69.84675885,-3.733385522,-3.154642689,1.107980343,0,0.519384161,0.593308425,1146.16918,6332.94,146.1691796,143.0145369,925680.6439,905702.4811,19978.16287
2018-08-09 03:00:00+00:00,80.09021666,69.84675885,-2.825585522,-3.154642689,1.107980343,0,0.52000822,0.593823585,1148.044221,6318.11,148.0442205,144.8895778,935359.6702,915428.2907,19931.37952
2018-08-09 04:00:00+00:00,79.00888625,70.56497745,-2.44345343,-3.197586176,1.673827213,0,0.521262927,0.594339195,1147.538567,6324.29,147.5385671,144.3409809,933076.6846,912854.2223,20222.46228
2018-08-09 05:00:00+00:00,77.35387879,67.21329065,-1.08175343,-3.197586176,1.673827213,0,0.523137217,0.59528745,1143.89075,6348.71,143.8907503,140.6931641,913520.6453,893220.098,20300.54733
2018-08-09 06:00:00+00:00,76.56512182,66.9140329,-2.29567343,-3.197586176,1.673827213,0,0.523170561,0.595545345,1141.588524,6347.67,141.5885243,138.3909382,898757.2283,878460.0065,20297.22184
